"","dataword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"363","serius",0,0,0,0,0,0,0,0,0,0
"364","punggung",0,0,0,0,0,0,0,0,0,0
"365","jalan",0,0,0,0,0,0,0,0,0,0
"366","nya",0,0,0,0,0,0,0,0,0,0
"367","terjal",0,0,0,0,0,0,0,0,0,0
"368","berguncang",0,0,0,0,0,0,0,0,0,0
"369","masker",0,0,0,0,0,0,0,0,0,0
"370","wajib",0,0,0,0,0,0,0,0,0,0
"371","pakai",0,0,0,0,0,0,0,0,0,0
"372","debu",0,0,0,0,0,0,0,0,0,0
"373","helm",0,0,0,0,0,0,0,0,0,0
"374","perjalanan",0,0,0,0,0,0,0,0,0,0
"375","berisiko",0,0,0,0,0,0,0,0,0,0
"376","juru",0,0,0,0,0,0,0,0,0,0
"377","foto",0,0,0,0,0,0,0,0,0,0
"378","mengikuti",0,0,0,0,0,0,0,0,0,0
"379","menjual",0,0,0,0,0,0,0,0,0,0
"380","hasil",0,0,0,0,0,0,0,0,0,0
"381","cetakan",0,0,0,0,0,0,0,0,0,0
"382","tour",0,0,0,0,0,0,0,0,0,0
"383","khas",0,0,0,0,0,0,0,0,0,0
"384","wisata",0,0,0,0,0,0,0,0,0,0
"385","mencoba",0,0,0,0,0,0,0,0,0,0
"386","menjual",0,0,0,0,0,0,0,0,0,0
"387","bentuk",0,0,0,0,0,0,0,0,0,0
"388","cd",0,0,0,0,0,0,0,0,0,0
"389","berisi",0,0,0,0,0,0,0,0,0,0
"390","file",0,0,0,0,0,0,0,0,0,0
"391","foto",0,0,0,0,0,0,0,0,0,0
"392","dibanding",0,0,0,0,0,0,0,0,0,0
"393","menjual",0,0,0,0,0,0,0,0,0,0
"394","bentuk",0,0,0,0,0,0,0,0,0,0
"395","cetakan",0,0,0,0,0,0,0,0,0,0
"396","terbuang",0,0,0,0,0,0,0,0,0,0
"397","dibeli",0,0,0,0,0,0,0,0,0,0
"398","pengalaman",0,0,0,0,0,0,0,0,0,0
"399","seru",0,0,0,0,0,0,0,0,0,0
"400","mencoba",0,0,0,0,0,0,0,0,0,0
"401","menikmati",0,0,0,0,0,0,0,0,0,0
"402","sejuknya",0,0,0,0,0,0,0,0,0,0
"403","merapi",0,0,0,0,0,0,0,0,0,0
"404","hujan",0,0,0,0,0,0,0,0,0,0
"405","gerimis",0,0,0,0,0,0,0,0,0,0
"406","menikmati",0,0,0,0,0,0,0,0,0,0
"407","sajian",0,0,0,0,0,0,0,0,0,0
"408","kopi",0,0,0,0,0,0,0,0,0,0
"409","merapi",0,0,0,0,0,0,0,0,0,0
"410","pisang",0,0,0,0,0,0,0,0,0,0
"411","gorengnya",0,0,0,0,0,0,0,0,0,0
"412","keluarga",0,0,0,0,0,0,0,0,0,0
"413","sungguh",0,0,0,0,0,0,0,0,0,0
"414","ngangeniningin",0,0,0,0,0,0,0,0,0,0
"415","kesana",0,0,0,0,0,0,0,0,0,0
"416","pemandangannya",0,0,0,0,0,0,0,0,0,0
"417","bagus",0,0,0,0,0,0,0,0,0,0
"418","lokasi",0,0,0,0,0,0,0,0,0,0
"419","warung",0,0,0,0,0,0,0,0,0,0
"420","kopinya",0,0,0,0,0,0,0,0,0,0
